"banner_image","fullname","images/0","images/1","images/2","images/3","in_reply_to/0","in_reply_to/1","in_reply_to/2","in_reply_to/3","language","likes","num_followers","num_following","query","quotes","replies","retweets","text","timestamp","total_likes","total_tweets","tweet_avatar","tweet_hashtags/0","tweet_hashtags/1","tweet_hashtags/2","tweet_hashtags/3","tweet_hashtags/4","tweet_hashtags/5","tweet_hashtags/6","tweet_hashtags/7","tweet_hashtags/8","tweet_hashtags/9","tweet_hashtags/10","tweet_hashtags/11","tweet_hashtags/12","tweet_hashtags/13","tweet_id","tweet_links/0","tweet_links/1","tweet_links/2","tweet_mentions/0","tweet_mentions/1","url","username"
,"adb",,,,,"@_bananaorange",,,,"id","0",,,"Gojek lang:in","0","1","0","Terus abangnya kejar-kejaran sama gojek gua gitu?","2023-10-31 11:58:00+00:00",,,"https://pbs.twimg.com/profile_images/1719294012379832320/M-lI_MzP_400x400.jpg",,,,,,,,,,,,,,,"1719323054499873112",,,,,,"https://twitter.com/Syrftladb/status/1719323054499873112","@Syrftladb"
,"Michelle",,,,,"@kittynyams",,,,"id","0",,,"Gojek lang:in","0","0","0","tadi aku beli di gojek total semuanya hampir 60","2023-10-31 11:58:00+00:00",,,"https://pbs.twimg.com/profile_images/1714867032985079808/C8hHMIs8_400x400.jpg",,,,,,,,,,,,,,,"1719323061852520473",,,,,,"https://twitter.com/fleurdevrie/status/1719323061852520473","@fleurdevrie"
,"jasa CV ATS friendly – CV kreatif – cover letter","https://pbs.twimg.com/media/F9xDN_LbcAAzbJj.jpg?format=jpg&name=medium",,,,,,,,"en","0",,,"Gojek lang:in","0","0","0","OPEN🤗
menerima jasa bikin CV ATS friendly, CV kreatif, cover letter, & buat surat lamaran. CV tembus itv user HMS, Shopee, Tokped, Gojek, Grab, Warpin, Unilever, P&G, dll
contoh porto, 2100+ testi cek IG: instagram.com/jasa_cv_ats
WA: wa.me/6281383839873
#jasacvats #jokitugas","2023-10-31 11:58:00+00:00",,,"https://pbs.twimg.com/profile_images/1682207546432696320/aQn8j7kI_400x400.jpg","#jasacvats","#jokitugas",,,,,,,,,,,,,"1719323072262754603","https://instagram.com/jasa_cv_ats","https://wa.me/6281383839873",,,,"https://twitter.com/jasa_cv_ats/status/1719323072262754603","@jasa_cv_ats"
,"bara",,,,,"@bajuijoh",,,,"id","0",,,"Gojek lang:in","0","0","0","jangan naik dari sudirman, kalo ke arah bekasi naik dari bni city kalo ke depok naik gojek ke cikini","2023-10-31 11:58:00+00:00",,,"https://pbs.twimg.com/profile_images/1698852228667420674/0dfMa0xW_400x400.jpg",,,,,,,,,,,,,,,"1719323036024033603",,,,,,"https://twitter.com/punlegend/status/1719323036024033603","@punlegend"
,"milo 🦩",,,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","bjir gojek gaada yg mau ambil orderan gw apa ya lama bgt dr td dpt driver anj","2023-10-31 11:57:00+00:00",,,"https://pbs.twimg.com/profile_images/1716091446955225088/mGCPakus_400x400.jpg",,,,,,,,,,,,,,,"1719322752426106945",,,,,,"https://twitter.com/allaboutmiloo/status/1719322752426106945","@allaboutmiloo"
,"prisz","https://pbs.twimg.com/media/F9xCkIrbYAAo4T7.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","1","0","babi bgt udh dress well, gojek ke kopken ijen maw nugas, gd colokan. trs ada 1 meja kosong tp ada tasnya tp dr gw dateng alias sekitar setengah jam lalu gada yg dudukin itu meja yg dkt colokan anjinggg. make stop kontak jg kaga. asu","2023-10-31 11:56:00+00:00",,,"https://pbs.twimg.com/profile_images/1658129645672480769/_5e3szAA_400x400.jpg",,,,,,,,,,,,,,,"1719322355192025129",,,,,,"https://twitter.com/slwpy/status/1719322355192025129","@slwpy"
,"jamal :l","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","pantesan kmrn ada ricuh oknum gojek nawar ampe 80k yg viral itu","2023-10-31 11:55:00+00:00",,,"https://pbs.twimg.com/profile_images/1688014723336609792/m0E0lgHL_400x400.jpg",,,,,,,,,,,,,,,"1719322203265839132",,,,,,"https://twitter.com/croiesscent/status/1719322203265839132","@croiesscent"
,"#CeasefireNOW 🇵🇸",,,,,,,,,"tl","0",,,"Gojek lang:in","0","1","0","bgmn aku pulang kalo gak bisa pesen gojek bos","2023-10-31 11:56:00+00:00",,,"https://pbs.twimg.com/profile_images/1718277184325120000/1Cn9kUqI_400x400.jpg",,,,,,,,,,,,,,,"1719322516597153969",,,,,,"https://twitter.com/802dredge/status/1719322516597153969","@802dredge"
,"ann ɞ",,,,,"@arcvkitt",,,,"id","0",,,"Gojek lang:in","0","0","0","NGGA TAHU KENAPA BISA GITU tadi turun dari gojek udah begitu tapi suaranya masih oke.. T__T","2023-10-31 11:56:00+00:00",,,"https://pbs.twimg.com/profile_images/1718819309836021760/TBWysVmm_400x400.png",,,,,,,,,,,,,,,"1719322571060207914",,,,,,"https://twitter.com/coeurvi/status/1719322571060207914","@coeurvi"
,"ցuan✴︎ kode promo gojek📌",,,,,"@dilapujo",,,,"id","0",,,"Gojek lang:in","0","0","0","HI ga sih…","2023-10-31 11:57:00+00:00",,,"https://pbs.twimg.com/profile_images/1704323925952634880/A3FXzleq_400x400.jpg",,,,,,,,,,,,,,,"1719322710118134225",,,,,,"https://twitter.com/kyoongnanumi/status/1719322710118134225","@kyoongnanumi"
,"pilar. FF comms 2/2","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","1","0","ribet bener sih.. padahal gue gapernah protes lho sama tarif gojek yg naik terus..","2023-10-31 11:55:00+00:00",,,"https://pbs.twimg.com/profile_images/1668652038396293126/tRWlvMwN_400x400.jpg",,,,,,,,,,,,,,,"1719322108596265151",,,,,,"https://twitter.com/bennysgranny/status/1719322108596265151","@bennysgranny"
,"Bang Rak",,,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","Gabisa ikut trend, gapunya foto estetik :)","2023-10-31 11:55:00+00:00",,,"https://pbs.twimg.com/profile_images/1707638526941306880/XNMVbG4O_400x400.jpg",,,,,,,,,,,,,,,"1719322205719495018",,,,,,"https://twitter.com/siabang_gojek/status/1719322205719495018","@siabang_gojek"
,"500centto100million",,,,,"@rubihmsyh","@kumparan",,,"id","0",,,"Gojek lang:in","0","0","0","Corporate always win 😅
Apalagi algoritma penerimaan order mitra gojek mayan kejam. Mau gak mau yg lagi gagu ambil tuh orderan nego 🥲
Aplikator tau mitranya walau sering protes tapi tetap butuh.","2023-10-31 11:54:00+00:00",,,"https://pbs.twimg.com/profile_images/1707418318007865344/P2gfBE9d_400x400.jpg",,,,,,,,,,,,,,,"1719322041218941061",,,,,,"https://twitter.com/danayuni/status/1719322041218941061","@danayuni"
,"yaya","https://pbs.twimg.com/media/F9xCZHJakAA6TVb.jpg?format=jpg&name=medium","https://pbs.twimg.com/media/F9xCZHMbkAAnH_W.jpg?format=jpg&name=medium","https://pbs.twimg.com/media/F9xCZHKbsAAqNJX.jpg?format=jpg&name=medium","https://pbs.twimg.com/media/F9xCZHSaoAAzPw8.jpg?format=jpg&name=medium",,,,,"id","2",,,"Gojek lang:in","0","0","0","gojek penyelamatku","2023-10-31 11:55:00+00:00",,,"https://pbs.twimg.com/profile_images/1706680273801449472/WNBsySdx_400x400.jpg",,,,,,,,,,,,,,,"1719322176124522954",,,,,,"https://twitter.com/bucingunung/status/1719322176124522954","@bucingunung"
,"anggit raditianti","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","ngapain deh layanan gojek udah salah satu yg paling mantep, drivernya baik baik, dan itungannya murah
dikira naik motor bahan bakarnya omongan julid netizen kali ya","2023-10-31 11:53:00+00:00",,,"https://pbs.twimg.com/profile_images/1659365827253272585/KXK3GPHC_400x400.jpg",,,,,,,,,,,,,,,"1719321618206663106",,,,,,"https://twitter.com/cancallmeanggit/status/1719321618206663106","@cancallmeanggit"
,"?","https://pbs.twimg.com/media/F9xCOi0bwAAJSvu.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","hari ini habis open donasi di jalan buat palestine, trus pulangnya naik gojek terus drivernya bilang gini gmn ga nangis...","2023-10-31 11:54:00+00:00",,,"https://pbs.twimg.com/profile_images/1656917543398023169/gGLlws0q_400x400.jpg",,,,,,,,,,,,,,,"1719321986915283272",,,,,,"https://twitter.com/Sparklilng/status/1719321986915283272","@Sparklilng"
,"apiy",,,,,,,,,"id","0",,,"Gojek lang:in","0","1","0","ujan... gua lg pesen gojek... kasian bapaknya 😔😔","2023-10-31 11:55:00+00:00",,,"https://pbs.twimg.com/profile_images/1718618453387710464/YIsP8pVV_400x400.jpg",,,,,,,,,,,,,,,"1719322091777118483",,,,,,"https://twitter.com/kiwnds/status/1719322091777118483","@kiwnds"
,"avilla conan",,,,,,,,,"hr","0",,,"Gojek lang:in","0","0","0","wtb voucher goride gojek dom jateng #zonauang #zonajajan #zonaba","2023-10-31 11:54:00+00:00",,,"https://pbs.twimg.com/profile_images/1474669186039226370/ajj9rDPo_400x400.jpg","#zonauang","#zonajajan","#zonaba",,,,,,,,,,,,"1719322004497801289",,,,,,"https://twitter.com/polyummy/status/1719322004497801289","@polyummy"
,"Ruang Ganti",,,,,"@kumparan",,,,"id","0",,,"Gojek lang:in","0","0","0","Itu bosnya Gojek gua yakin belom pernah jual barang ditawar afgan sama orang-orangan sawah","2023-10-31 11:51:00+00:00",,,"https://pbs.twimg.com/profile_images/719918006797635586/pxdmjzuG_400x400.jpg",,,,,,,,,,,,,,,"1719321314606072188",,,,,,"https://twitter.com/ruang_ganti/status/1719321314606072188","@ruang_ganti"
,"tamae baik",,,,,"@akupadi5",,,,"id","0",,,"Gojek lang:in","0","0","0","Bu connie ini cukup peka dan tahu suara2 lapisan paling bawah ..

Bener yg di katakan nya... Di lapisan jelantah. Warung kopi emperan musola tongkrongan gojek.
Semua membicarakan pencalonan anaknya yg sedemikian rupa... jelantah bisa marah dan meledak seperti yg d ktakan bu coni","2023-10-31 11:52:00+00:00",,,"https://pbs.twimg.com/profile_images/1629811054976061441/gvr8BHpU_400x400.jpg",,,,,,,,,,,,,,,"1719321420738478116",,,,,,"https://twitter.com/gajahserenang/status/1719321420738478116","@gajahserenang"
,"Alam",,,,,,,,,"hr","0",,,"Gojek lang:in","0","0","0","ini bapak gojek udh ganti rute 3 kali","2023-10-31 11:52:00+00:00",,,"https://pbs.twimg.com/profile_images/1718632118006554624/hN1hsYuN_400x400.jpg",,,,,,,,,,,,,,,"1719321503169470569",,,,,,"https://twitter.com/almapaketwt/status/1719321503169470569","@almapaketwt"
,"Mbak Jubir",,,,,"@vincanindya",,,,"id","0",,,"Gojek lang:in","0","0","0","Gojek grab ada tp di pusat kabupaten. Jarak 20 km udh g ada. Adanya jasa online lokalan. 😁","2023-10-31 11:52:00+00:00",,,"https://pbs.twimg.com/profile_images/1691754874177011712/c7Io-K0Q_400x400.jpg",,,,,,,,,,,,,,,"1719321440280105397",,,,,,"https://twitter.com/belum_dilantik/status/1719321440280105397","@belum_dilantik"
,"kumparan","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","214",,,"Gojek lang:in","770","447","46","Kira-kira fitur tawar menawar tarif Gojek bakal efektif ga ya, Gaes?

GoTo saat ini sedang menguji coba fitur baru yakni, GoRide Nego. Di mana, nantinya customer bisa melakukan tawar harga dengan driver Gojek.

GoRide Nego merupakan salah satu langkah perusahaan untuk terus memperluas penawaran produk layanan mobilitas roda dua kepada konsumen yang memprioritaskan harga.

“Perseroan melakukan uji coba GoRide Nego, yang memungkinkan konsumen dan mitra pengemudi untuk berkomunikasi secara langsung dan saling menyepakati harga pengantaran,” tulis manajemen seperti dikutip, Selasa (31/10).

Ini adalah contoh inovasi yang berkesinambungan dengan tujuan menjangkau konsumen. #bisnisupdate #update #bisnis #oneliner bit.ly/45W1ZKy","2023-10-31 03:25:00+00:00",,,"https://pbs.twimg.com/profile_images/1709828531352670208/8cCKe-ns_400x400.jpg","#bisnisupdate","#update","#bisnis","#oneliner",,,,,,,,,,,"1719193860818293211","http://bit.ly/45W1ZKy",,,,,"https://twitter.com/kumparan/status/1719193860818293211","@kumparan"
,"Rafly",,,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","gojek ngapa gabisa masuk dah @gojekindonesia","2023-10-31 11:49:00+00:00",,,"https://pbs.twimg.com/profile_images/1318819555972583425/1xybeU-P_400x400.jpg",,,,,,,,,,,,,,,"1719320635476963699",,,,"gojekindonesia",,"https://twitter.com/_kmpng/status/1719320635476963699","@_kmpng"
,"Black Adam",,,,,"@rrizkikiki","@kegblgnunfaedh",,,"id","1",,,"Gojek lang:in","0","0","0","Tai ini mah gojek gapunya gopay kocak wkwk","2023-10-31 11:49:00+00:00",,,"https://pbs.twimg.com/profile_images/1616881360018497536/e4LM09Tl_400x400.jpg",,,,,,,,,,,,,,,"1719320697766617593",,,,,,"https://twitter.com/superojol/status/1719320697766617593","@superojol"
,"sa🐣",,,,,"@discountfess",,,,"id","0",,,"Gojek lang:in","0","0","0","kenapa di gojek ku 50K ya","2023-10-31 11:50:00+00:00",,,"https://pbs.twimg.com/profile_images/1711633944448503808/eHWwrUQi_400x400.jpg",,,,,,,,,,,,,,,"1719321039522677239",,,,,,"https://twitter.com/lemoonchicken/status/1719321039522677239","@lemoonchicken"
,"Koko Krunch",,,,,"@owloveable",,,,"sl","0",,,"Gojek lang:in","0","0","0","Gojek/grab deb","2023-10-31 11:51:00+00:00",,,"https://pbs.twimg.com/profile_images/1718887051754717184/HNKgcH9N_400x400.jpg",,,,,,,,,,,,,,,"1719321208662212862",,,,,,"https://twitter.com/jefrry91/status/1719321208662212862","@jefrry91"
,"。.:☆*:･'(*⌒―⌒*)))",,,,,"@rainasafa",,,,"hr","0",,,"Gojek lang:in","0","0","0","Kmrn gw gojek kureng","2023-10-31 11:51:00+00:00",,,"https://pbs.twimg.com/profile_images/1652163424472952835/WGegKZ62_400x400.jpg",,,,,,,,,,,,,,,"1719321300551045345",,,,,,"https://twitter.com/ccatsukii/status/1719321300551045345","@ccatsukii"
,"salma",,,,,,,,,"id","0",,,"Gojek lang:in","0","1","0","gue plg matraman-poge bela belain naik gojek karna udh gakuat lagi pengen cepet ke dokter trus istrihat, tau nya disini dokternya lagi istrahat, sejam pula istrahatnya yaallah tolong hamba ya allah gakuat lagi.... prh banget si pdhl gue udh mau booking via online malah disuruh is","2023-10-31 11:48:00+00:00",,,"https://pbs.twimg.com/profile_images/1681284608082706438/oIy-iIHn_400x400.jpg",,,,,,,,,,,,,,,"1719320359126929768",,,,,,"https://twitter.com/salmaoktananda/status/1719320359126929768","@salmaoktananda"
,"Adia","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","Biaya aplikasinya aja deh gojek. Lu makin lama mau meres orang ye","2023-10-31 11:51:00+00:00",,,"https://pbs.twimg.com/profile_images/1712472441526849536/mxPLcfQR_400x400.jpg",,,,,,,,,,,,,,,"1719321283153014831",,,,,,"https://twitter.com/chinensisthorn/status/1719321283153014831","@chinensisthorn"
,"res_voire",,,,,"@axma_","@fullmoonfolks",,,"id","0",,,"Gojek lang:in","0","0","0","Dari komunitas gojek malah sepakat markup harga WKWKWK","2023-10-31 11:47:00+00:00",,,"https://pbs.twimg.com/profile_images/1562931506821341184/LP7vZUAv_400x400.jpg",,,,,,,,,,,,,,,"1719320216268947694",,,,,,"https://twitter.com/void_cure/status/1719320216268947694","@void_cure"
,"koala kumel",,,,,"@yudo_rahadya","@kegblgnunfaedh",,,"id","0",,,"Gojek lang:in","0","0","0","Kenapa sih rangorang mau di offline in, jelas² itu gak aman karena kalau ada apa-apa gak bisa minta pertanggungjawaban gojek, kalau kasihan sama abangnya ya mending ngetips jangan mau di offline in, jelas² online tuh lebih murah karena ada diskonnya juga","2023-10-31 11:46:00+00:00",,,"https://pbs.twimg.com/profile_images/1717576158806761472/vSs3Jc9V_400x400.jpg",,,,,,,,,,,,,,,"1719320053823557662",,,,,,"https://twitter.com/Sandi_Ferdeloya/status/1719320053823557662","@Sandi_Ferdeloya"
,"pit📌",,,,,"@_wajrefynnaej",,,,"id","0",,,"Gojek lang:in","0","0","0","Engga jee:( jauh soalnya pas pulanh susah kendaraan abang   gojek pada ga mau soalnya muacet parah😭😭","2023-10-31 11:46:00+00:00",,,"https://pbs.twimg.com/profile_images/1646991362871685121/7nb2C8Ml_400x400.jpg",,,,,,,,,,,,,,,"1719319840970912137",,,,,,"https://twitter.com/pxsvn/status/1719319840970912137","@pxsvn"
,"Dr. Irvan Kartawiria","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","33",,,"Gojek lang:in","0","7","14","Padahal saya naik gojek karena males nawar dan harganya udah pasti..","2023-10-31 10:30:00+00:00",,,"https://pbs.twimg.com/profile_images/1598177262536253441/278siBTJ_400x400.jpg",,,,,,,,,,,,,,,"1719300922910835068",,,,,,"https://twitter.com/Pak_Irv/status/1719300922910835068","@Pak_Irv"
,"info promo, voucher, diskon shopee, lazada, gojek","https://pbs.twimg.com/media/F9xAljwacAASPUi.jpg?format=jpg&name=medium",,,,,,,,"en","0",,,"Gojek lang:in","0","0","0","jangan lupa klaim vouchernya!!⤵️
shope.ee/7f8pVMl0To

super beauty day shopee!! promo spesial
hari ini jam 00:00 WIB🥳
Sore Mesir Sabana Olive Johnny Jatinangor Burger Halloween DAY6 selena Rp 6.300 #GISELLE #TwinklingWatermelonEp11","2023-10-31 11:47:00+00:00",,,"https://pbs.twimg.com/profile_images/1660337770819366914/r9irlZWQ_400x400.jpg","#GISELLE","#TwinklingWatermelonEp11",,,,,,,,,,,,,"1719320177601622286","https://shope.ee/7f8pVMl0To",,,,,"https://twitter.com/chiesmies26/status/1719320177601622286","@chiesmies26"
,"archiveies","https://pbs.twimg.com/media/F9xAc8gasAACXS3.jpg?format=jpg&name=medium",,,,,,,,"nl","0",,,"Gojek lang:in","0","1","0","wts voc gofood 45% maks 25k
fee 6k (udah gf+)

sisa 1 voucher

t. wts wtb voc voucher gofood gojek #zonauang #zonajajan

langsung WA for fastresp (rb.gy/tk1gg)","2023-10-31 11:46:00+00:00",,,"https://pbs.twimg.com/profile_images/1718693158740238336/EAJJ3YSM_400x400.jpg","#zonauang","#zonajajan",,,,,,,,,,,,,"1719320029769183483","http://rb.gy/tk1gg",,,,,"https://twitter.com/archiveies/status/1719320029769183483","@archiveies"
,"mencobauntukbahagia",,,,,"@unnesmenfess",,,,"id","0",,,"Gojek lang:in","0","0","0","Dah biasa nder, apalg tadi siang aku naik gojek, depan mua ada mhswi mau kuliah, posisi lagi macet, bisa bisa ne dia mau nyelonong nerobos depan mobil n samping gojek. Wwkkw sampe gojeknya geleng-geleng. Heran aku gabisa sabar dikit.","2023-10-31 11:45:00+00:00",,,"https://pbs.twimg.com/profile_images/1719319802538528768/aT4HEe5p_400x400.jpg",,,,,,,,,,,,,,,"1719319666735354347",,,,,,"https://twitter.com/huahuaszh/status/1719319666735354347","@huahuaszh"
,"Gabbi Gabbi Gabbi!","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","2",,,"Gojek lang:in","0","1","0","Bruh, gw make gojek biar ga perlu tawar menawar...","2023-10-31 11:37:00+00:00",,,"https://pbs.twimg.com/profile_images/1331853372756946945/-a9xTfc0_400x400.jpg",,,,,,,,,,,,,,,"1719317611291566188",,,,,,"https://twitter.com/xenozaga48/status/1719317611291566188","@xenozaga48"
,"F😼",,,,,"@undipmenfess",,,,"id","0",,,"Gojek lang:in","0","0","0","Tergantung la nder klo km bawa kendaraan termasuk boros, klo gabawa jdi semisal apa” hrus pke anjem/gojek emmm ga begitu boros sih","2023-10-31 11:44:00+00:00",,,"https://pbs.twimg.com/profile_images/1698225657862602752/JEmuQBXn_400x400.jpg",,,,,,,,,,,,,,,"1719319399667208389",,,,,,"https://twitter.com/milkywaysz_/status/1719319399667208389","@milkywaysz_"
,"kkey",,,,,"@imdoneimgone","@berburusales",,,"id","0",,,"Gojek lang:in","0","1","0","kak langganan g+ di gojek ada di sebelah mana ya?","2023-10-31 11:40:00+00:00",,,"https://pbs.twimg.com/profile_images/1672296201029582848/UxMaobv6_400x400.jpg",,,,,,,,,,,,,,,"1719318417285820718",,,,,,"https://twitter.com/pafeslacee/status/1719318417285820718","@pafeslacee"
,"sayang seungmin ୧⍤⃝🐶","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","Gak abis pikir. Harusnya yg lu benerin tuh biaya aplikasinya. Masa gue kemarin mau gofut dan gojek biaya aplikasinya nyampe 10 rebu.","2023-10-31 11:43:00+00:00",,,"https://pbs.twimg.com/profile_images/1467622389823393793/gGG_NmsN_400x400.jpg",,,,,,,,,,,,,,,"1719319197304672466",,,,,,"https://twitter.com/seungmingoose/status/1719319197304672466","@seungmingoose"
